SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,# CREW,# PASS,LIVES LOST,SHIP VALUE,NATURE OF CARGO,USLSS STATION NAME,MISC INFORMATION
A H Bowman,,,Steamship,,,12/4/1857,1857,12,4,Deal Lake N .25 mi,,,,,US,,"Norfolk, VA","New York, NY",22,0,0,"$30,000",Wheat,,
A H DuMont,,Spentonbush Red Star Co,Tanker,1940,"Camden, NJ",6/10/1986,1986,6,10,Garden State North Artificial Reef,39-37-727 N,74-01-029 W,Opened hull,Steel,US,NJ AR,GSN,8,,,,,,,Sponsor - Fisherman Magazine
A H Edward,,,Schooner,,,1820,1820,,,Nine Mile Beach,,,Stranded,,,,,,,,,,,,Very little info
A H Hurlburt,,,Schooner,1871,"Middletown, CT",6/26/1884,1884,6,26,Cape May LSS SW 4 mi,,,Stranded,Wood,US,"New Haven, CT","Hallowell, ME","Yorktown, VA",7,,0,"$20,000",Granite,Cape May,#105055; Refloated
A J Bentley,,Bentley & Gildersleeve,Schooner,1865,"Hartford, CT",5/27/1873,1873,5,27,Barnegat,,,Collision w/ unknown schooner,Wood,,"New Haven, CT","Georgetown, DC","New York, NY",,,,,,,Partial loss; Towed to New Haven
A J Hoole,,,Schooner,,,12/19/1902,1902,12,19,Spermaceti Cove LSS S 1 mi,,,Grounded,,,"New York, NY","Jersey City, NJ","Seabright, NJ",3,0,0,"$1,000",None,Spermaceti Cove,Partial loss; Refloated
A L & M Townsend,George White,,Schooner,1871,"Barnegat, NJ",12/30/1888,1888,12,30,Little Egg LSS S 2 mi,,,Grounded,Wood,US,"Somers Point, NJ","New York, NY","Atlantic City, NJ",3,,,"$1,500",Brick,Little Egg,#106349; Refloated
A L Lee (1897),,,Schooner,1884,"Mays Landing, NJ",3/25/1897,1897,3,25,Ocean City LSS E .5 mi,,,Stranded,Wood,US,"Somers Point, NJ","Somers Point, NJ","Haverstraw, NY",5,,0,"$5,000",None,Ocean City,#106301; Refloated
A L Lee (1898),,,Schooner,1884,"Mays Landing, NJ",8/26/1898,1898,8,26,Absecon bar,,,Grounded,Wood,US,"Somers Point, NJ","Haverstraw, NY","Atlantic City, NJ",6,,0,"$3,000",Bricks,Absecon & Atlantic City,#106301; Refloated
A L Lee (1902),,,Schooner,1884,"Mays Landing, NJ",12/10/1902,1902,12,10,Absecon bar,,,Grounded,Wood,US,"Somers Point, NJ","Haverstraw, NY","Atlantic City, NJ",4,,0,"$5,000",Bricks,Absecon & Atlantic City,#106301; Total loss
A Lincoln,,,Schooner,1865,"Essex, MA",10/12/1891,1891,10,12,Barnegat,,,Damaged in gale,,,"Provincetown, MA",,Fishing trip,10,0,1,,Fish,,#472
A M C Smith,,,Schooner,,,10/13/1876,1876,10,13,Green Island LSS N .25 mi,39-36-00 N,74-12-06 W,Stranded,,,"New London, CT","New York, NY",Fishing trip,8,,0,"$4,000",None,Green Island #12,#1711; Refloated
A M Lee,,G H Newhall,Schooner,1864,"Tuckahoe, NJ",10/12/1885,1885,10,12,Highlands SE .5 mi,,,Dismasted in storm,Wood,US,"Provincetown, MA","Philadelphia, PA","Bridgeport, CT",4,,0,,Coal,,#503; Sank while in tow
A P Nowell,,Thomas Winsmore,Schooner,1874,"Milton, DE",8/3/1886,1886,8,3,Cape May,,,"Collision w/ ""Josephine""",Wood,US,"Philadelphia, PA","Philadelphia, PA","Lynn, MA",5,1,0,"$10,000",388 ton coal,,#105412; Partial loss; Towed to NY
A Pardee,,,Schooner,,,3/16/1875,1875,3,16,Little Egg Harbor,,,Grounded,,,"New Brunwick, NJ",,,5,0,0,"$16,000",Coal,Little Egg Harbor,Refloated
A S Wasse,,,Brig,,,1838 - 1878,1860,,,Squan Inlet S 1.5 mi,,,Stranded,,,,,,,,,,,,Total loss
A T Coleman,,,Schooner,1865,"Talbot City, MD",1/20/1901,1901,1,20,Atlantic City,,,Stranded,,,"Baltimore, MD","New Bern, NC","Atlantic City, NJ",4,0,0,"$1,800",Lumber,Atlantic City,#22033; Total loss
A T Stewart #6,,,Pilot boat,,,11/30/1869,1869,11,30,New Jersey coast,,,"Collision w/ ""Scotia""",,,"New York, NY",,Pilot service,,,,,,,Sank
Abbie E Campbell,,Maxon Fish et al,Schooner,1866,"Mystic, CT",9/14/1873,1873,9,14,Brigantine Shoal,,,Stranded,,,"Mystic, CT","Georgetown, DC","New York, NY",,,,"$12,000",500 ton coal,,Total loss
Abbie H Gheen,,E G Taulane,Schooner,1880,,6/27/1900,1900,6,27,Manasquan Inlet,,,"Collision w/ ""Manna-Hatta""",Wood,,"Philadelphia, PA","Norfolk, VA","New York, NY",6,,0,"$8,000",Lumber,,#105952
Abbie M Deering,,,Schooner,1883,,4/29/1885,1885,4,29,,,,Stranded,,,"Portland, ME",,,17,,0,"$7,000",Ice,,#106152
Abbie Pitman,,,Schooner,1866,,10/17/1879,1879,10,17,,,,Collision,,US,"Marblehead, MA",,"Philadelphia, PA",,,,,Sugar,,
Abbie S Walker,,,Schooner,1883,"Jonesborough, ME",4/21/1888,1888,4,21,Hereford Inlet North bar,,,Stranded,Wood,,"North Haven, ME","Vinalhaven, ME","Philadelphia, PA",6,0,0,"$12,000",Granite,Hereford Inlet,"#106218; Refloated, no damage"
Abby,,,Schooner,,,3/4/1853,1852,3,4,Cape May,,,Stranded; bilged in storm,,,,,,,,,,In ballast,,Total loss
Abby K Bentley,,Bentley Gildersleeve & Co,Schooner,1872,"Hartford, CT",3/25/1885,1885,3,25,Squan Beach,,,Sprung foremast,,,"Portland, ME","Boothbay, ME","Petersburg, VA",,,,,,,#105189
Abby L Dow (1887),,E Coon,Schooner,1870,"Tuckahoe, NJ",11/17/1887,1887,11,17,Hereford Inlet,,,"Collision w/ ""H S Lanfair""",Wood,,"Philadelphia, PA","Rondout, NY","Philadelphia, PA",6,0,0,"$4,000",500 ton cement,,#1945; Partial loss
Abby L Dow (1893),,Philip Young,Schooner,1870,"Tuckahoe, NJ",12/8/1893,1893,12,8,Hereford Inlet bar,,,Stranded,Wood,,"Philadelphia, PA","Rockport, ME","Philadelphia, PA",6,,0,"$2,500",Stone,Hereford Inlet & Tathaus,#1945; Total loss
Abby Whitman,,,Schooner,1854,"Boston, MA",1/21/1855,1855,1,21,Little Egg Harbor,,,Grounded,Wood,US,"Boston, MA","Savannah, GA","Philadelphia, PA",,,,,,,
Abel C Buckley,,G P Buckley,Schooner,1869,"Greenport, NY",10/19/1879,1879,10,19,Barnegat,,,Damaged in storm,,,,,,,,,,,,Partial damage
Aberdeen,,S H Mills,Bark,1856,"Searsport, ME",1/6/1885,1885,1,6,Harvey Cedars LSS,,,Stranded,Wood,US,"New York, NY","Mobile, AL","Boston, MA",8,0,0,"$7,000",Cotton,"Harvey Cedars, Loveladies, & Ship Bottom",#218; Total loss
Abiel Abbot,,Abiel Abbot,Bark,1874,"Boston, MA",1/20/1903,1903,1,20,Ship Bottom LSS S .5 mi,,,Stranded,Wood,US,"New York, NY","Salt Key, Turks Island","New York, NY",9,0,5,"$8,000",Salt,Long Beach Island & Ship Bottom,#105479; Total loss
Abigail (1756),,,Sloop,,,5/1/1756,1756,5,1,Great Egg Harbor Shoal,,,Stranded,,,,"Salem, MA","Philadelphia, PA",,,,,,,#1429; Presumed refloated
Abigail (1831),,,Sloop,,,1/1831,1831,1,,"Leeds Point, NJ",,,Foundered at anchor,,,,,,1,,1,,,,
Abigail Haley,,Haley & Co.,Schooner,1860,"Mauricetown, NJ",1/18/1868,1868,1,18,Squan Inlet S 3 mi,,,Grounded,,,,,,,,,"$20,000",,,"Refloated; Incorrectly called ""Abigail Henry"" "
Abraham Leggett #4,,,Pilot boat,,,3/7/1870,1870,3,7,Highlands S 3 mi,,,Grounded,,,,,,,,,,,,Refloated; Towed to NY
Absecon,,,Steamship,1884,"Bordentown, NJ",11/11/1885,1885,11,11,Absecon,,,Stranded,,,"Somers Point, NJ",,"Somers Point, NJ",13,0,0,"$10,000",,Atlantic City,#106299; Refloated
Acara,,Photos only,,,,,,,,Unknown,,,Unknown,,,,,,,,,,,,No info on an event. Just photos
Achille S / Achilles,,,Brig,1870,,2/21/1882,1862,2,21,Little Egg LSS E,,,Grounded,,US,Austria,"Montevideo, SA","New York, NY",9,0,0,"$7,000",Hides,#23,
Achorn,,,Schooner,,,3/18/1880,1880,3,18,Absecon E 9 mi,,,"Collision w/ ""Maria and Elizabeth""",,,"Trenton, NJ",,,4,0,1,,,Stone Harbor #35 & Hereford Inlet #36,#105378; Sank
Active (1778),,,Brig Privateer,,,1778,1778,,,,,,Taken by HMS Mermaid,,,,,,20,0,,,,,Crew taken prisoners
Active (1885),,,Sloop,1868,"Freeport, NY",7/11/1885,1885,7,11,Sandy Hook Point,,,Stranded,Wood,US,"New York, NY","New York, NY",Fishing cruise,2,,0,$300,,,#1636; Refloated
Active (1938),,,Motor vessel,1895,,10/1/1938,1938,10,1,"Belford, NJ",,,Foundered,,,,,,5,,0,,,,#107172
Ada Adelia,,Adelia Inc,Fishing trawler,1870,,10/11/1991,1991,10,11,Atlantic City Artificial Reef,39-15-539 N,74-13-893 W,Opened sea cocks,Wood,US,NJ AR,AC,18,,,,,,,Sponsor - Capt Andy Applegate
Ada F Crosby,,John Baizly & Sons,Bark,1875,,5/1881,1881,5,,Del-Mar-Va E 200 mi,37-30-00 N,72-20-00 W,Leaking; Abandoned at sea,,US,"Philadelphia, PA","Philadelphia, PA","Portland, ME",10,0,1,"$2,400",819 ton Coal,,#105648; Total loss
Adair F Bonney,,,Schooner,,,11/13/1875,1875,11,13,Barnegat,,,Lost at Sea,,US,,"Perth Amboy, NJ","Richmond, VA",7,0,7,,Coal,,Total loss
Addie,,,Schooner,1883,"Wilmington, DE",4/3/1886,1886,4,3,Cold Spring Inlet South bar,,,Stranded,,,"Wilmington, DE","Indian River, DE","Cape May, NJ",2,,,"$1,000",Corn & lumber,Cold Spring,#106183
Addie B Bacon,,,Barge,1874,"Philadelphia, PA",2/10/1908,1908,2,10,Sandy Hook Flynns Knoll,,,Stranded,,,"Perth Amboy, NJ",,,7,,0,,,,#105423
Addie E Sleeper,,,Bark,,,1/4/1879,1879,1,4,Highlands,,,Dismasted in gale,,US,,"Aspinwall, Central America","New York, NY",,,3,,Old iron,,Partial loss
Addie Harris,,,Schooner,,,3/20/1866,1866,3,20,Corsons Inlet,,,Stranded,,,,"New York, NY","Philadelphia, PA",,,,,Gravel,,Refloated
Addie Jordan,,,Schooner,1873,"Saco, ME",12/14/1907,1907,12,14,Squan Beach N 5 mi,,,Stranded,Wood,US,"Norfolk, VA","Norfolk, VA","New York, NY",2,,0,"$2,000",Lumber,Squan Beach #8,#105245; Total loss
Addie P McFadden,,,Schooner,1890,"Bath, ME",4/10/1894,1894,4,10,Ocean City LSS NW .75 mi,,,Stranded,,,"Bath, ME","Boothbay, ME","Ocean City, NJ",6,,0,"$14,000",Ice,Ocean City,#106750
Addie Schlaefer,,L H Hopkins,Schooner,1874,"Port Jefferson, NY",3/27/1877,1877,3,27,Cold Spring Inlet South bar,,,Stranded,,,"New York, NY","Norfolk, VA","New York, NY",6,,0,"$7,000",9000 bushels Corn,Cape May #39,#105337; Refloated
Addie Taylor,,,Schooner - yacht,,,10/15/1882,1882,10,15,Sandy Hook Point,,,Stranded; swamped,,,"Jersey City, NJ","Jersey City, NJ",Pleasure cruise,4,0,0,$300,,Sandy Hook,Total loss
Addie Walton,,,Schooner,,,9/16/1876,1876,9,16,,,,"Collision w/ ""Light Brigade""",,,"Philadelphia, PA","Philadelphia, PA","Boston, MA",,,1,,Coal,,Sank
Addie Wooster,,,Motor vessel gas,1914,,6/15/1921,1921,6,15,Atlantic City,,,Stranded,,,,,,1,,0,,,,#213246; Total loss
Adelaide (1840),,,Schooner,,,2/23/1840,1840,2,23,Sickles Creek,,,Stranded/Broke up,,,,Dominica,Nova Scotia,,,,,,,
Adelaide (1841),,,Schooner,,,11/14/1841,1841,11,14,Brigantine Beach,,,Leaking,,,"Tuckerton, NJ","Tuckerton, NJ","Sing Sing, NY",,,,,Coal,,Sank
Adelaide (1846),,,Sloop,,,9/9/1846,1846,9,9,Barnegat Inlet,,,Struck Bar; Capsized,Wood,,"Manahawkin, NJ","Manahawkin, NJ","Barnegat City, NJ",4,1,4,,,,Capt's daughter only survivor
Adelaide (1870),,,Schooner,1853,"Cape May, NJ",1/4/1870,1870,1,4,Barnegat,,,"Collision w/ ""Shakespeare""",,,"Somerset, NJ","Somerset, NJ","Baltimore, MD",,,,,In ballast,,Abandoned
Adele,,,Dragger,,,1958,1958,,,Manasquan Inlet ESE 6.5 mi,,,Foundered,,,,,,,,,,,,Sunk
Adele Lindell,,,Schooner,,,4/30/1885,1885,4,30,Tuckerton Shoal,,,Stranded,,,,,,,,,,,,Refloated
Adele Trudell,,Frank Smith et al,Schooner,1870,,11/24/1891,1891,11,24,Sandy Hook Romer Shoal,,,Stranded in storm,Wood,,"Camden, NJ","Cape May, NJ","New York, NY",8,,0,"$2,000",Sand,Sandy Hook,#944; Total loss
Adelia B,,,Schooner,,,4/15/1874,1874,4,15,Great Egg Harbor bar,,,Stranded,,,"Great Egg Harbor, NJ","New York, NY","Somers Point, NJ",,,,,,,#507; Total loss
Adelia Burley,Adelia B,,Schooner,,,4/15/1874,1874,4,15,Great Egg Harbor bar,,,Stranded,,,"Great Egg Harbor, NJ","New York, NY","Somers Point, NJ",4,,,,Oysters,,#507; Total loss
Adelia Hodgkins,,,Schooner,,,3/6/1877,1877,3,6,Egg Harbor,,,,,,,,,,,,,,,
Adeline Baxter,,Jacob Baxtor,Schooner,,,11/2/1877,1877,11,2,Corsons Inlet S .5 mi,,,Stranded in storm,,,,"Verplank Point, NY","Millville, NJ",4,,0,,85 tons of limestone,,#105954
Adeliza,,,Schooner,,,1/13/1877,1877,1,13,Sandy Hook,,,Crushed in ice,,US,"New York, NY","New York, NY","St Domingo, Dom Republic",,,,,,,Towed back to Brooklyn
Admiral Dewey,,,Barge,1898,,1/24/1918,1918,1,24,New Jersey coast,,,Burned,,,,,,2,,0,,,,#166925
Admiral Dupont,,,Sidewheel steam,1847,England,6/8/1865,1865,6,8,Cape May,,,"Collision w/ ""Stadacona""",Iron,,"New York, NY","New York, NY","Hampton Roads, VA",30,20,20,,,,
Admiral Rodney,,,Brig,,,7/8/1780,1780,7,8,Sandy Hook,,,Battle w/ US privateer,,England,,,,6,,6,,,,Lost boom
Admirente,,Photos only,,,,,,,,,,,,,,,,,,,,,,,
Adolphus,,Abel C Robbins,Ship,1873,"Green Cove, NS",1/4/1886,1886,1,4,Delaware Bay The Shears,38-52-00 N,75-07-50 W,Stranded in storm,Wood,England,"Yarmouth, NS","London, England","Philadelphia, PA",21,,0,"$15,000","Barrels, chalk",Lewes; Cape Henlopen,#66708; Total loss
Adonis,,,Bark,1853,,3/3/1859,1859,3,3,Long Branch South end,,,Stranded in storm,Wood,Netherlands,"Breman, Germany","Newcastle, England","New York, NY",12,,0,,Grindstones; lead ingots,,"Total loss; Same site as ""Russland"""
Adrian,,,Schooner,,,5/12/1855,1855,5,12,Delaware Bay,,,"Collision w/ ""Keystone State""",,,,"Philadelphia, PA","Fall River, MA",5,0,2,,Coal,,Sank in 15 minutes
Adrian Maria,,,Trawler,,,6/8/1985,1985,6,8,Hereford Shoal,,,Stranded,,,"Wildwood, NJ",,,,,,,,,Total loss
Adriana,,,Merchantman,,,12/1801,1801,12,,Delaware bay,,,Crushed in ice,,US,,,,,,,,,,Sank
Adriatic,,,Fishing trawler,,,1/18/1999,1999,1,18,Beach Haven SE 5 mi,,,Unknown,Steel,US,,"Pt Pleasant, NJ",Clamming service,4,,4,,Clams,USCG Atlantic City,Dredge hose tangled in prop
Adriatic (1864),,E E Morgan & Sons,Sailing ship,1861,"East Boston, MA",8/12/1864,1864,8,12,Montuk SW 20 mi,,,"Burned by Confederate Raider ""Tallahassee""",Wood,US,"New York, NY","London, England","New York, NY",,163,0,,,,"One of 30 ships captured by ""Tallahassee"""
Adrienne,,,Sloop,,,10/23/1878,1878,10,23,Short Beach,,,Stranded in storm,,,,"Toms River, NJ",,3,,0,,,Little Egg #23,Refloated
Adry,,,Motor vessel,1916,,3/21/1927,1927,3,21,Perth Amboy,,,Burned,,,,,,1,,0,,,,#214623
Advent,,,Schooner,,,5/9/1851,1851,5,9,Delaware Capes,,,Grounded,,,"Augusta, GA","Boston, MA","Savannah, GA",,,,,Ice,,Total loss
Adventure (1760),,,Merchantman,,,1760,1760,,,Sandy Hook,,,Stranded,,Scotland,,,,,,,,,,
Adventure (1762),,,Schooner,,,10/8/1762,1762,10,8,Barnegat,,,Stranded,Wood,US,"New London, CT","St Martins, WI","New London, CT",,,0,,Salt,,
Adventurer,,Adventure Fleet Inc,Charter fishing boat,1959,"Dorchester, NJ",4/16/1983,1983,4,16,Cape May Inlet SE 12 mi,38-45-7 N,74-43-19 W,Foundered,Wood,US,"Wildwood, NJ","Wildwood, NJ",Day trip,2,16,0,,,"USCG ""Cape Starr""",#282412; Total loss
Aeolus,,Neptune Maritime Co,Tanker,1965,"Sunderland, England",8/24/1974,1974,8,24,Ambrose Light E 2 mi,,,Grounded,Steel,Liberia,"Moravia, Liberia","St Croix, USVI","New York, NY",,,,,66075 ton crude oil,,Refloated
African Monarch,,Monarch SS Co,Steamship,1898,"Newcastle, England",8/12/1910,1910,8,12,Brigantine LSS SE 3 mi,,,Stranded,Steel,England,"Glasgow, Scotland","Philadelphia, PA","New York, NY",35,,0,"$40,000",None,South Brigantine & Brigantine,#108781; Refloated w/o assistance
Agnes (1808),,,Ship,,,11/1808,1808,11,,Cape May,,,Foundered,,,,"Charleston, SC",,,,,,,,Driven to sea
Agnes (1877),,,Steamship,,,3/1/1877,1877,3,1,Cold Spring Bar,,,Stranded,,,"New York, NY","Philadelphia, PA","New York, NY",18,,0,"$20,000","Whiskey, brandy, soup, paper",3 Mile Beach #38,Refloated
Agnes (1885),,,Schooner,,,3/27/1885,1885,3,27,Sandy Hook Romer Shoal,,,Stranded,,,"South Amboy, NJ","Barren Island, NY","South Amboy, NJ",,,,,,,Towed to Red Hook
Aid (1864),,,Bark,,,8/3/1864,1864,8,3,Barnegat South Shoal,,,Stranded,,US,,Bermuda,"New York, NY",12,0,0,,Sugar,,Broke up
Aid (1876),,,Schooner,,,9/17/1876,1876,9,17,Maurice River Flats,,,Stranded,,,,"Philadelphia, PA","Fall River, MA",,,1,,Coal,,Captain's wife lost
Ajax,,Thomas Marshall,Tug steam,,,2/4/1858,1858,2,4,Long Branch,,,Stranded; leaking,Wood,US,"New York, NY","Barnegat Inlet, NJ","New York, NY",,,0,"$16,000",,,Sent to tow Mary Dyer to NY
Akron (1912),,Melvin Vaniman,Blimp,,,7/2/1912,1912,7,2,Atlantic City E .5 mi,,,Explosion; Burned,,,"Atlantic City, NJ",,,5,,5,"$50,000",,South Brigantine & Atlantic City,Attempted to cross Atlantic
Akron (1933),,U S Navy,Blimp,1931,"Akron, OH",4/3/1933,1933,4,3,Little Egg Harbor E 30 mi,,,Crashed in storm,Steel,US,"Lakehurst, NJ","Lakehurst, NJ",Demo cruise,76,,73,,,,
Alabama,,,Schooner,,,2/15/1846,1846,2,15,Squan Inlet S 1 mi,40-05-20 N,74-02-00 W,Stranded in gale,,,,"Philadelphia, PA","New York, NY",7,0,7,,"Hides, spices, iron",,"Crew, ship, cargo lost "
Alamo,,Eldon S Poole,Yacht motor,1949,"Millville, NJ",8/7/1970,1970,8,7,Cape May E 30 mi,,,Capsized while in tow,Wood,US,"Philadelphia, PA",,,4,0,2,,,,#264192; Sank while in tow by USCG
Alan Martin,YO-31,Crystal Oil Co,Tanker,1918,"New York, NY",9/10/1987,1987,9,10,Shark River Artificial Reef,40-06-44   N,73-41-13   W,Explosives,Steel,US,NJ AR,SR,2,,,,,,,Sponsor - NJ Marine Trades Assoc
Alan T Niven,,,Motor vessel,1922,,7/7/1928,1928,7,7,"Warners, NJ",,,Burned,,,,,,3,,1,,,,#222518
Alaric,,,Sloop,,,1/25/1855,1855,1,25,,,,Stranded; Leaking,,,,"Wilmington, NC","New York, NY",,,,,,,
Alarm USS,,,Torpedo Boat,1873,"New York, NY",11/28/1877,1877,11,28,Barnegat,,,"Collision w/ ""C & C Brooks""",iron,,,,,,,,,,,
Albano,,,Brig,,,7/17/1852,1852,7,17,Egg Harbor SE 25 mi,,,Capsized in squall,,,"Waldoboro, ME","New Haven, CT","Philadelphia, PA",,,,,,,
Albany,,,Sloop,,,2/23/1744,1744,2,23,,,,Foundered,,,,,,,,0,,,,
Albatross,,Olav J Berg,Motor vessel diesel,1925,"Ranen, Norway",9/2/1932,1932,9,2,Ambrose Light,,,Burned,Wood,,,,,5,,0,,,,#227962; Total loss
Albemarle (1856),,,Schooner,,,12/15/1856,1856,12,15,Sandy Hook Inside,,,Stranded,,,"Pantego, NC","Providence, RI","New York, NY",,,0,,,,
Albemarle (1866),,,Schooner,,,3/24/1866,1866,3,24,Seven Mile Beach,39 04 00 N,74 44 00 W,,,,"Boston, MA","Boston, MA",,5,,,,In Ballast,,
Albert (1837),,,Schooner,,,5/12/1837,1837,5,12,Cape May E 30 mi,,,"Collision w/ ""Talley Ho""",,,"Barnstable, MA","Boston, MA","Fredericksburg, VA",,,0,,Molasses,,
Albert H Waite (1885),,J. Winslow & Co,Schooner,1873,"Pembroke, MA",10/12/1885,1885,10,12,Barnegat Inlet SE 25 mi,38-05-08 N,73-05-30 W,Foundered in gale,,,"Portland, ME","Philadelphia, PA","New Bedford, MA",,,,,Coal & Lumber,,#105271; Partial loss
Albert H Waite (1887),,John Musgrave,Schooner,1873,"Pembroke, MA",3/12/1887,1887,3,12,At sea,,,Foundered; Abandoned,,,"Philadelphia, PA","Philadelphia, PA","New Bedford, MA",,,0,,Coal,,"#105271; Total loss; Crew saved by ""Decatur H Miller"""
Albert Mason,,,Schooner,1861,"Patchogue, NY",1/7/1891,1891,1,7,Holly Beach SE 4 mi,,,In distress,,,"New York, NY","Chickahominy River, VA","New York, NY",6,,0,"$8,000",Railroad ties,Holly Beach,#742; Repaired
Albert Vinal,,,Schooner,,,12/18/1852,1852,12,18,Sandy Hook E 40 mi,,,Foundered in gale,,,"Portland, ME","Philadelphia, PA","Portland, ME",,,,,,,Total loss
Albert W Smith,,,Schooner,1873,"Kennebunk, ME",4/11/1894,1894,4,11,Squan Beach NE .25 mi,,,Stranded,,,,"Philadelphia, PA","Providence, RI",8,,8,"$12,000",Coal,,#105288
Alberta,,,Schooner,1882,"Baltimore, MD",10/12/1911,1911,10,12,Little Egg Harbor S 1 mi,,,Grounded,,,"Chincoteague, VA","York River, VA","New York, NY",4,0,0,"$3,000",Lumber,Little Egg & Little Beach,#106113; Refloated
Albertine Meyer,,J Diercks,Brig,,,2/6/1884,1884,2,6,Barnegat LSS SE .5 mi,,,Stranded,Wood,Germany,"Rostock, Germany","Bahia, Brazil","New York, NY",9,0,0,"$10,000",Sugar,Barnegat,#770; Total loss
Albion (1839),,,Brig,,,1/6/1839,1839,1,6,Cape May,,,Stranded,,,,,,,,,,Flour,,
Albion (1847),,,Schooner,,,8/1847,1847,8,,Sandy Hook,,,Stranded,,,,"Picton, NS","New York, NY",5,0,0,,,,Total loss
Albion (1857),,,Schooner,,,9/1857,1857,9,,Sandy Hook,,,Stranded,,,,"Calais, France","Philadelphia, PA",,,,"$3,000",,,Total loss
Alert (1901),,,Sloop,1880,"Brooklyn, NY",7/4/1901,1901,7,4,Barnegat LSS E 2 mi,,,Struck submerged object,Wood,US,"Philadelphia, PA","Little Egg Harbor, NJ",Fishing trip,16,0,0,"$6,000",None,Barnegat & Forked River,#105890; Total loss
Alert (1929),,,Motor vessel diesel,1917,"Norfolk, VA",4/25/1928,1928,4,25,Highlands Light,,,Foundered,,,,,,6,,0,,,,#223729; US Navy Subchaser #130
Alert (1935),,,Trawler,,,1/11/1935,1935,1,11,Sandy Hook,,,Collision w/ scow,,,,,,,,,,,,Total loss
Alexander Gibson,,,Schooner - Barge,1877,"Thomaston, ME",11/28/1915,1915,11,28,Five Fathom Bank,,,Stranded,Wood,US,"New York, NY","Seawalls Point, VA","Boston, MA",5,0,0,,Coal,,#105741; Total loss
Alexander Wiley,,,Schooner,,,5/6/1878,1878,5,6,Little Egg Harbor LSS S 1 mi,,,Stranded,,,"Baltimore, MD","New Haven, CT","Baltimore, MD",4,0,0,"$3,000",None,Little Egg #23,#1663; Refloated
